Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,19.404727899993304,space,0.9782394000067143,,,,,,,,,,,,,,,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.401189900003374,space,0.4303183000010904,,,,,,,,,,,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,,,,,,,,,,,,18.128601200005505,19.200685800009524,1.0720846000040183,right,1,1.0506313999940176,None,1,54:46,1,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,1,,,,,,,,,,,,23.118685000008554,24.034336700002314,0.9156516999937594,left,0,0.8920560000115074,None,-1,54:46,-2,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2,2,,,,,,,,,,,,28.015415700006997,28.900955999997677,0.8855402999906801,left,1,0.8600939000025392,None,0,54:46,1,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,3,3,3,,,,,,,,,,,,32.820567100003245,33.667642200001865,0.8470750999986194,left,1,0.8300315000087721,None,1,54:46,1,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,0,4,2,,,,,,,,,,,,37.5817015000066,38.50105269999767,0.9193511999910697,left,1,0.9017628000001423,None,2,54:46,1,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,1,5,3,,,,,,,,,,,,42.438935300000594,43.26772509999864,0.8287897999980487,left,1,0.796986300003482,None,3,54:46,1,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,2,6,0,,,,,,,,,,,,47.22362620000786,47.884101800009375,0.6604756000015186,left,0,0.6291383000061614,None,1,54:46,-2,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,3,7,1,,,,,,,,,,,,51.78431880001153,52.75101820001146,0.9666993999999249,None,0,,None,-1,54:46,-2,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,0,0,0,1,,,,,,,,56.49705679999897,57.46762400001171,0.9705672000127379,,,,,-3,51:49,-2,None,0,None,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,0,1,1,2,,,,,,,,61.43874530000903,62.917430900008185,1.478685599999153,,,,,-5,51:49,-2,None,0,None,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,0,2,2,3,,,,,,,,66.87295940000331,67.85094250000839,0.9779831000050763,,,,,-7,51:49,-2,None,0,None,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,0,3,3,0,,,,,,,,71.7513758999994,73.25099190000037,1.4996160000009695,,,,,-9,51:49,-2,None,0,None,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,1,0,4,0,,,,,,,,77.16590600000927,78.65092050000385,1.485014499994577,,,,,-11,51:49,-2,None,0,None,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,1,1,5,3,,,,,,,,82.59806420000677,83.56768370000646,0.9696194999996806,,,,,-13,51:49,-2,None,0,None,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,1,2,6,1,,,,,,,,87.47828650000156,88.45095179999771,0.9726652999961516,,,,,-15,51:49,-2,None,0,None,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,1,3,7,2,,,,,,,,92.4092598999996,93.90101430000504,1.4917544000054477,,,,,-17,51:49,-2,None,0,None,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3901046999963,100.3901046999963,100.3901046999963,100.3901046999963,space,33.60923339999863,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,1,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,,,,,,,,,,,,131.44195730000501,132.4843830000027,1.0424256999976933,left,0,1.0177197000011802,None,-19,54:46,-2,,,,,,,,,,Antoine10,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h55.30.405,Rewa's Exp,2023.1.2,59.98918994597077,
