Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,total_score,Dot_ratio,current_score,response_3.keys,response_3.corr,key_skip_3.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,19.63600559999759,space,1.8403497000108473,,,,,,,,,,,,,,,,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.50222450000001,space,0.645513800001936,,,,,,,,,,,,,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,2,,,,,,,,,,,,,,,,24.82016050000675,19.42675450000388,20.780603999999585,1.3538494999957038,right,0,1.3347320000029868,None,-2,57:43,-2,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,1,1,3,,,,,,,,,,,,,,,,30.132033200003207,24.73862150000059,25.297256199992262,0.5586346999916714,left,1,0.5345841000089422,None,-1,57:43,1,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,0,2,2,0,,,,,,,,,,,,,,,,34.60751509999682,29.214136299997335,30.713811099994928,1.4996747999975923,None,0,,None,-3,57:43,-2,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,3,3,1,,,,,,,,,,,,,,,,40.02388190000784,34.63069769999129,36.59708829999727,1.9663906000059796,None,0,,None,-5,57:43,-2,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,1,0,4,0,,,,,,,,,,,,,,,,45.90698280000652,40.51363240000501,42.01378130000376,1.5001488999987487,None,0,,None,-7,57:43,-2,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,1,1,5,2,,,,,,,,,,,,,,,,51.31490440000198,45.92154870000377,47.41392389999237,1.4923751999886008,None,0,,None,-9,57:43,-2,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,1,2,6,3,,,,,,,,,,,,,,,,56.773694300005445,51.38033250000444,53.3473462999973,1.9670137999928556,None,0,,None,-11,57:43,-2,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,1,3,7,1,,,,,,,,,,,,,,,,62.651294499999494,57.25787339999806,59.23054289999709,1.9726694999990286,None,0,,None,-13,57:43,-2,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,,,,,0,0,0,3,,,,,,,,,,,,,62.977904400002444,64.94714279999607,1.9692383999936283,,,,,-15,54:46,-2,None,0,None,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,,,,,0,1,1,1,,,,,,,,,,,,,68.91488539999409,70.88046489999397,1.9655794999998761,,,,,-17,54:46,-2,None,0,None,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,0,2,2,0,,,,,,,,,,,,,74.77907370000321,76.26385930000106,1.4847855999978492,,,,,-19,54:46,-2,None,0,None,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,0,3,3,2,,,,,,,,,,,,,80.18133160000434,81.68056549999164,1.4992338999873027,,,,,-21,54:46,-2,None,0,None,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,,,,,1,0,4,1,,,,,,,,,,,,,85.59237689999281,87.5638251999917,1.9714482999988832,,,,,-23,54:46,-2,None,0,None,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,1,1,5,2,,,,,,,,,,,,,91.52563799999189,93.01388620000216,1.4882482000102755,,,,,-25,54:46,-2,None,0,None,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,1,2,6,0,,,,,,,,,,,,,96.94127749999461,98.43056100000103,1.4892835000064224,,,,,-27,54:46,-2,None,0,None,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,,,,,1,3,7,3,,,,,,,,,,,,,102.36185309999564,104.3306309000036,1.968777800007956,,,,,-29,54:46,-2,None,0,None,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,110.85658989999502,110.85658989999502,110.85658989999502,110.85658989999502,space,15.290631000010762,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1,0,1,0,0,0,0,0,0,0,0,2,,,,,0,0,0,3,,,,,,,,128.96603019999748,123.5732427000039,124.14749170000141,0.5742489999975078,left,1,0.5573554000002332,None,-28,57:43,1,,,,,,,,,,Antoine4,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_12h58.37.557,Rewa's Exp,2023.1.2,60.01219447820375,
