Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5248.thisRepN,trials_5248.thisTrialN,trials_5248.thisN,trials_5248.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,total_score,Dot_ratio,current_score,response_3.keys,response_3.corr,key_skip_3.keys,response_3.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,Unnamed: 61,corr,key_skip,response_keys,response_RT
1.5,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,21.37811980000697,15.98920419998467,16.89626519999001,0.907061000005342,right,1.0,0.8837126999860629,None,1.0,57:43,1.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,1.0,None,right,0.8837126999860629
1.0,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,26.22217780002393,20.83343340002466,21.62936640006956,0.7959330000448972,left,0.0,0.767566499998793,None,-1.0,57:43,-2.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,0.0,None,left,0.767566499998793
1.0,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,30.9752637000056,25.5864296000218,26.162814400042407,0.5763848000206053,right,0.0,0.5589830999961123,None,-3.0,57:43,-2.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,0.0,None,right,0.5589830999961123
1.5,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,35.466307000024244,30.077477699960586,31.562684000004083,1.485206300043501,None,0.0,,None,-5.0,57:43,-2.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.0,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,,,,,,,,,,,,,,,,40.867560200043954,35.47871369996574,36.44735899998341,0.9686453000176698,None,0.0,,None,-7.0,57:43,-2.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.5,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,45.75324690004345,40.36436480004341,41.86277909995988,1.498414299916476,None,0.0,,None,-9.0,57:43,-2.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.5,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,0.0,,,,,,,,,,,,,,,,51.16966580005828,45.78064879996237,47.27947880001739,1.4988300000550223,None,0.0,,None,-11.0,57:43,-2.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.0,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,1.0,,,,,,,,,,,,,,,,56.57404440001119,51.18523469998036,52.163042700034566,0.9778080000542104,None,0.0,,None,-13.0,57:43,-2.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.0,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,3.0,,,,,,,,,,,,,55.89257330005057,56.86301540001296,0.9704420999623836,,,,,-15.0,54:46,-2.0,None,0.0,None,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.5,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,60.81963060004637,62.31287879997399,1.4932481999276206,,,,,-17.0,54:46,-2.0,None,0.0,None,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.5,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,,,,66.21456250001211,67.71280400000978,1.4982414999976754,,,,,-19.0,54:46,-2.0,None,0.0,None,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.0,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,3.0,3.0,1.0,,,,,,,,,,,,,71.6208741000155,72.59638979996089,0.9755156999453902,,,,,-21.0,54:46,-2.0,None,0.0,None,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.0,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,1.0,0.0,4.0,3.0,,,,,,,,,,,,,76.5170114999637,77.4796948999865,0.9626834000227972,,,,,-23.0,54:46,-2.0,None,0.0,None,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.5,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,1.0,1.0,5.0,2.0,,,,,,,,,,,,,81.4024236999685,81.67970840004273,0.2772847000742331,,,,,-22.0,54:46,1.0,left,1.0,None,0.253427300020121,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,1.0,None,left,0.253427300020121
1.0,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,1.0,2.0,6.0,1.0,,,,,,,,,,,,,85.61449529998936,85.97977309999987,0.3652778000105172,,,,,-24.0,54:46,-2.0,left,0.0,None,0.3381589000346139,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,0.0,None,left,0.3381589000346139
1.5,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,1.0,3.0,7.0,0.0,,,,,,,,,,,,,89.89619530003984,91.39634199999271,1.500146699952893,,,,,-26.0,54:46,-2.0,None,0.0,None,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,-1.0,None,None,
1.5,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,111.2240388999926,105.83516460005194,106.24666199996136,0.4114973999094218,right,0.0,0.3812074000015855,None,-28.0,57:43,-2.0,,,,,,,,,,,test,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h04.02.186,Rewa's Exp,2023.1.2,60.01536395234646,,0.0,None,right,0.3812074000015855
